N,cw_min,cw_max,p_coll_dcf_numpy,p_coll_dcf_numpy_conf,throughput_simulation,throughput_simulation_conf,p_coll_model,p_coll_wifi_nr,p_coll_ns3,thr_ns3,ns3_thr_intervals,ns3_p_coll_intervals,p_coll_ns3_r32,thr_ns3_r32,ns3_conf_intervals_r32
1.0,15.0,1023.0,0.0,0.0,30.6449,0.0,0.0,0.0,3.148114000000001e-06,29.924949999999995,,,3.148114e-06,29.92495,
2.0,15.0,1023.0,0.11166119224484042,0.0017553185576259145,31.3548,0.0,0.103363272204039,0.11705921428571432,0.10954325,30.2403,0.005407165557188945,1.1869216453584655e-06,0.10954325,30.2403,0.005407165557189001
3.0,15.0,1023.0,0.1790916198406136,0.002178507549988828,31.0062,0.0,0.175828551622275,0.18990535714285714,0.17352760000000006,29.88545,0.017181748189101866,0.0007557853390805354,0.1735276,29.88545,0.017181748189102
4.0,15.0,1023.0,0.23465619320982184,0.002802057584490057,30.3273,0.0,0.23036398605542102,0.2396497142857143,0.2211515,29.514390000000002,0.08911584476634889,0.0008395333749016616,0.2211515,29.514390000000002,0.08911584476635
5.0,15.0,1023.0,0.2725283856935253,0.0033904920723234065,29.8081,0.0,0.268133820027369,0.2763602142857143,0.2577218,29.1474,0.10125124712566656,0.0008301120398938701,0.2577218,29.1474,0.101251247125667
6.0,15.0,1023.0,0.3000531133794759,0.0031878657635631817,29.3911,0.0,0.301236356733537,0.30477871428571424,0.28395760000000003,28.774269999999994,0.0202115299487756,0.000760276123396687,0.2839576,28.77427,0.020211529948776
7.0,15.0,1023.0,0.3258587260195869,0.0022782725563210452,28.9448,0.0,0.328344858753271,0.3280475714285714,0.30579110000000004,28.46165,0.11521869677342307,0.00664276995780945,0.3057911,28.46165,0.11521869677342302
8.0,15.0,1023.0,0.3451494503086032,0.003991590479358342,28.6092,0.0,0.352647803438729,0.3471793571428572,0.3069871111111111,28.430433333333333,0.05570542045498368,0.006895688141851446,0.306987111111111,28.4304333333333,0.055705420454984
9.0,15.0,1023.0,0.36617782682911343,0.003307177911976406,28.1964,0.0,0.36751734250842993,0.3645932857142857,0.33976549999999994,27.93797999999999,0.2732435754486812,0.019836020295893472,0.3397655,27.93798,0.27324357544868105
10.0,15.0,1023.0,0.3850043313946164,0.003243542882239413,27.8049,0.0,0.38155320261897707,0.3797352142857143,0.3469997,27.77429,0.16266607071298994,0.00924013133878024,0.3469997,27.77429,0.16266607071299
