N,CWmin,CWmax,collision probability-simulation,collision probability-model
1,15,1023,0.0,0.0
2,15,1023,0.10876583641310542,0.103363272204039
3,15,1023,0.1866140375842683,0.175828551622275
4,15,1023,0.23777343744534443,0.23036398605542102
5,15,1023,0.27266010533243296,0.268133820027369
6,15,1023,0.298722884227794,0.301236356733537
7,15,1023,0.3317693961589745,0.328344858753271
8,15,1023,0.3476309482943614,0.352647803438729
9,15,1023,0.36972993596891907,0.36751734250842993
10,15,1023,0.37502504676247705,0.38155320261897707
