,run,mcs,thr_ns3
0,1,0,4.28199
1,1,1,6.24069
2,1,2,8.16277
3,1,3,11.8458
4,1,4,15.0274
5,1,5,20.5187
6,1,6,25.1714
7,1,7,27.5905
8,2,0,4.28199
9,2,1,6.24069
10,2,2,8.16277
11,2,3,11.8458
12,2,4,15.0274
13,2,5,20.5187
14,2,6,25.1714
15,2,7,27.5905
16,3,0,4.28199
17,3,1,6.24069
18,3,2,8.16277
19,3,3,11.8458
20,3,4,15.0274
21,3,5,20.5187
22,3,6,25.1714
23,3,7,27.5905
24,4,0,4.28199
25,4,1,6.24069
26,4,2,8.16277
27,4,3,11.8458
28,4,4,15.0274
29,4,5,20.5187
30,4,6,25.1714
31,4,7,27.5905
32,5,0,4.28199
33,5,1,6.24069
34,5,2,8.16277
35,5,3,11.8458
36,5,4,15.0274
37,5,5,20.5187
38,5,6,25.1714
39,5,7,27.5905
40,6,0,4.28199
41,6,1,6.24069
42,6,2,8.16277
43,6,3,11.8458
44,6,4,15.0274
45,6,5,20.5187
46,6,6,25.1714
47,6,7,27.5905
48,7,0,4.28199
49,7,1,6.24069
50,7,2,8.16277
51,7,3,11.8458
52,7,4,15.0274
53,7,5,20.5187
54,7,6,25.1714
55,7,7,27.5905
56,8,0,4.28199
57,8,1,6.24069
58,8,2,8.16277
59,8,3,11.8458
60,8,4,15.0274
61,8,5,20.5187
62,8,6,25.1714
63,8,7,27.5905
64,9,0,4.28199
65,9,1,6.24069
66,9,2,8.16277
67,9,3,11.8458
68,9,4,15.0274
69,9,5,20.5187
70,9,6,25.1714
71,9,7,27.5905
72,10,0,4.28199
73,10,1,6.24069
74,10,2,8.16277
75,10,3,11.8458
76,10,4,15.0274
77,10,5,20.5187
78,10,6,25.1714
79,10,7,27.5905
