,payload,thr_ns3,thr_ns3_conf
0,100,3.4165900000000002,0.0
1,200,7.5548,0.0
2,300,10.668000000000001,0.0
3,400,13.2667,0.0
4,500,15.7542,0.0
5,600,17.606799999999996,0.0
6,700,19.328200000000002,0.0
7,800,20.579200000000004,0.0
8,900,22.1232,0.0
9,1000,23.1695,0.0
10,1100,24.063700000000004,0.0
11,1200,25.2449,0.0
12,1300,26.001200000000004,0.0
13,1400,26.678400000000003,0.0
14,1500,27.5905,0.0
15,1600,28.3517,0.0
16,1700,28.6402,0.0
17,1800,29.0255,0.0
18,1900,29.716699999999996,0.0
19,2000,30.1363,0.0
20,2100,30.783499999999997,0.0
21,2200,31.1149,0.0
22,2300,15.542100000000001,0.0
