,run,payload,thr_ns3
0,1,100,3.41659
1,1,200,7.5548
2,1,300,10.668
3,1,400,13.2667
4,1,500,15.7542
5,1,600,17.6068
6,1,700,19.3282
7,1,800,20.5792
8,1,900,22.1232
9,1,1000,23.1695
10,1,1100,24.0637
11,1,1200,25.2449
12,1,1300,26.0012
13,1,1400,26.6784
14,1,1500,27.5905
15,1,1600,28.3517
16,1,1700,28.6402
17,1,1800,29.0255
18,1,1900,29.7167
19,1,2000,30.1363
20,1,2100,30.7835
21,1,2200,31.1149
22,1,2300,15.5421
23,2,100,3.41659
24,2,200,7.5548
25,2,300,10.668
26,2,400,13.2667
27,2,500,15.7542
28,2,600,17.6068
29,2,700,19.3282
30,2,800,20.5792
31,2,900,22.1232
32,2,1000,23.1695
33,2,1100,24.0637
34,2,1200,25.2449
35,2,1300,26.0012
36,2,1400,26.6784
37,2,1500,27.5905
38,2,1600,28.3517
39,2,1700,28.6402
40,2,1800,29.0255
41,2,1900,29.7167
42,2,2000,30.1363
43,2,2100,30.7835
44,2,2200,31.1149
45,2,2300,15.5421
46,3,100,3.41659
47,3,200,7.5548
48,3,300,10.668
49,3,400,13.2667
50,3,500,15.7542
51,3,600,17.6068
52,3,700,19.3282
53,3,800,20.5792
54,3,900,22.1232
55,3,1000,23.1695
56,3,1100,24.0637
57,3,1200,25.2449
58,3,1300,26.0012
59,3,1400,26.6784
60,3,1500,27.5905
61,3,1600,28.3517
62,3,1700,28.6402
63,3,1800,29.0255
64,3,1900,29.7167
65,3,2000,30.1363
66,3,2100,30.7835
67,3,2200,31.1149
68,3,2300,15.5421
69,4,100,3.41659
70,4,200,7.5548
71,4,300,10.668
72,4,400,13.2667
73,4,500,15.7542
74,4,600,17.6068
75,4,700,19.3282
76,4,800,20.5792
77,4,900,22.1232
78,4,1000,23.1695
79,4,1100,24.0637
80,4,1200,25.2449
81,4,1300,26.0012
82,4,1400,26.6784
83,4,1500,27.5905
84,4,1600,28.3517
85,4,1700,28.6402
86,4,1800,29.0255
87,4,1900,29.7167
88,4,2000,30.1363
89,4,2100,30.7835
90,4,2200,31.1149
91,4,2300,15.5421
92,5,100,3.41659
93,5,200,7.5548
94,5,300,10.668
95,5,400,13.2667
96,5,500,15.7542
97,5,600,17.6068
98,5,700,19.3282
99,5,800,20.5792
100,5,900,22.1232
101,5,1000,23.1695
102,5,1100,24.0637
103,5,1200,25.2449
104,5,1300,26.0012
105,5,1400,26.6784
106,5,1500,27.5905
107,5,1600,28.3517
108,5,1700,28.6402
109,5,1800,29.0255
110,5,1900,29.7167
111,5,2000,30.1363
112,5,2100,30.7835
113,5,2200,31.1149
114,5,2300,15.5421
115,6,100,3.41659
116,6,200,7.5548
117,6,300,10.668
118,6,400,13.2667
119,6,500,15.7542
120,6,600,17.6068
121,6,700,19.3282
122,6,800,20.5792
123,6,900,22.1232
124,6,1000,23.1695
125,6,1100,24.0637
126,6,1200,25.2449
127,6,1300,26.0012
128,6,1400,26.6784
129,6,1500,27.5905
130,6,1600,28.3517
131,6,1700,28.6402
132,6,1800,29.0255
133,6,1900,29.7167
134,6,2000,30.1363
135,6,2100,30.7835
136,6,2200,31.1149
137,6,2300,15.5421
138,7,100,3.41659
139,7,200,7.5548
140,7,300,10.668
141,7,400,13.2667
142,7,500,15.7542
143,7,600,17.6068
144,7,700,19.3282
145,7,800,20.5792
146,7,900,22.1232
147,7,1000,23.1695
148,7,1100,24.0637
149,7,1200,25.2449
150,7,1300,26.0012
151,7,1400,26.6784
152,7,1500,27.5905
153,7,1600,28.3517
154,7,1700,28.6402
155,7,1800,29.0255
156,7,1900,29.7167
157,7,2000,30.1363
158,7,2100,30.7835
159,7,2200,31.1149
160,7,2300,15.5421
161,8,100,3.41659
162,8,200,7.5548
163,8,300,10.668
164,8,400,13.2667
165,8,500,15.7542
166,8,600,17.6068
167,8,700,19.3282
168,8,800,20.5792
169,8,900,22.1232
170,8,1000,23.1695
171,8,1100,24.0637
172,8,1200,25.2449
173,8,1300,26.0012
174,8,1400,26.6784
175,8,1500,27.5905
176,8,1600,28.3517
177,8,1700,28.6402
178,8,1800,29.0255
179,8,1900,29.7167
180,8,2000,30.1363
181,8,2100,30.7835
182,8,2200,31.1149
183,8,2300,15.5421
184,9,100,3.41659
185,9,200,7.5548
186,9,300,10.668
187,9,400,13.2667
188,9,500,15.7542
189,9,600,17.6068
190,9,700,19.3282
191,9,800,20.5792
192,9,900,22.1232
193,9,1000,23.1695
194,9,1100,24.0637
195,9,1200,25.2449
196,9,1300,26.0012
197,9,1400,26.6784
198,9,1500,27.5905
199,9,1600,28.3517
200,9,1700,28.6402
201,9,1800,29.0255
202,9,1900,29.7167
203,9,2000,30.1363
204,9,2100,30.7835
205,9,2200,31.1149
206,9,2300,15.5421
207,10,100,3.41659
208,10,200,7.5548
209,10,300,10.668
210,10,400,13.2667
211,10,500,15.7542
212,10,600,17.6068
213,10,700,19.3282
214,10,800,20.5792
215,10,900,22.1232
216,10,1000,23.1695
217,10,1100,24.0637
218,10,1200,25.2449
219,10,1300,26.0012
220,10,1400,26.6784
221,10,1500,27.5905
222,10,1600,28.3517
223,10,1700,28.6402
224,10,1800,29.0255
225,10,1900,29.7167
226,10,2000,30.1363
227,10,2100,30.7835
228,10,2200,31.1149
229,10,2300,15.5421
